"","mukey","sl_length"
"1020","381430","55.0"
"1021","381431","99.0"
"1022","381432","99.0"
"1023","381433","99.0"
"1024","381434","99.0"
"1025","381435","99.0"
"1026","381436","99.0"
"1027","381437","61.0"
"1028","381438","49.0"
"1029","381439","68.0"
"1030","381440","33.0"
"1031","381441","99.0"
"1032","381442","84.0"
"1033","381443","84.0"
"1034","381444","99.0"
"1035","381445","84.0"
"1036","381446","99.0"
"1037","381447","84.0"
"1038","381448","0.0"
"1039","381449","84.0"
"1040","381450","99.0"
"1041","381451","99.0"
"1042","381453","61.0"
"1043","381486","30.0"
"1044","381487","61.0"
"1045","381515","91.0"
"1046","381526","30.0"
"1047","381558","30.0"
"1048","381565","61.0"
"1049","381588","61.0"
"1050","381644","30.0"
"1051","381645","38.0"
"1052","381648","61.0"
"1053","381649","99.0"
"1054","381650","91.0"
"1055","381651","91.0"
"1056","381652","45.0"
"1057","381653","33.0"
"1058","381655","91.0"
"1059","381658","30.0"
"1060","381659","30.0"
"1061","381660","30.0"
"1062","381661","91.0"
"1063","381662","55.0"
"1064","381663","91.0"
"1065","381664","55.0"
"1066","381665","55.0"
"1067","381666","55.0"
"1068","381667","91.0"
"1069","381668","54.0"
"1070","381669","38.0"
"1071","381670","33.0"
"1072","381671","99.0"
"1073","381672","99.0"
"1074","381673","61.0"
"1075","381674","37.0"
"1076","381675","55.0"
"1077","381676","84.0"
"1078","381677","55.0"
"1079","381678","84.0"
"1080","381679","68.0"
"1081","381680","99.0"
"1082","381681","55.0"
"1083","381682","61.0"
"1084","381683","68.0"
"1085","381684","40.0"
"1086","381685","55.0"
"1087","381686","40.0"
"1088","381688","61.0"
"1089","381689","30.0"
"1090","381690","30.0"
"1091","381691","30.0"
"1092","381692","91.0"
"1093","381693","61.0"
"1094","381694","30.0"
"1095","381695","61.0"
"1096","381696","99.0"
"1097","381697","84.0"
"1098","381699","30.0"
"1099","381700","55.0"
"1100","381701","91.0"
"1101","381702","55.0"
"1102","381703","91.0"
"1103","381704","55.0"
"1104","381705","84.0"
"1105","381706","99.0"
"1106","381707","61.0"
"1107","381708","30.0"
"1108","381709","30.0"
"1109","381710","0.0"
"1110","381711","33.0"
"1111","381712","30.0"
"1112","381713","33.0"
"1113","381714","99.0"
"1114","381715","99.0"
"1115","381716","30.0"
"1116","381717","30.0"
"1117","381718","99.0"
"1118","381719","99.0"
"1119","381720","68.0"
"1120","381721","53.0"
"1121","381722","53.0"
"1122","381723","33.0"
"1123","381724","84.0"
"1124","381725","84.0"
"1125","381726","84.0"
"1126","381727","53.0"
"1127","381728","54.0"
"1128","381729","99.0"
"1129","381730","84.0"
"1130","381731","68.0"
"1131","381732","53.0"
"1132","381733","84.0"
"1133","381734","84.0"
"1134","381735","84.0"
"1135","381736","99.0"
"1136","381737","99.0"
"1137","381738","99.0"
"1138","381739","99.0"
"1139","381740","99.0"
"1140","381741","33.0"
"1141","381742","99.0"
"1142","381743","91.0"
"1143","381744","55.0"
"1144","381745","99.0"
"1145","381746","84.0"
"1146","381747","68.0"
"1147","381748","53.0"
"1148","381749","33.0"
"1149","381750","61.0"
"1150","381752","37.0"
"1151","381753","99.0"
"1152","381754","84.0"
"1153","381755","68.0"
"1154","381756","53.0"
"1155","381757","84.0"
"1156","381758","99.0"
"1157","381759","99.0"
"1158","381760","61.0"
"1159","381761","49.0"
"1160","381762","30.0"
"1161","381763","99.0"
"1162","381764","99.0"
"1163","381765","84.0"
"1164","381766","68.0"
"1165","381767","33.0"
"1166","381768","33.0"
"1167","381769","84.0"
"1168","381770","84.0"
"1169","381771","30.0"
"1170","381772","91.0"
"1171","381773","53.0"
"1172","381774","53.0"
"1173","381775","99.0"
"1174","381776","84.0"
"1175","381777","68.0"
"1176","381778","15.0"
"1177","381779","99.0"
"1178","381780","84.0"
"1179","381781","84.0"
"1180","381782","68.0"
"1181","381783","33.0"
"1182","381784","0.0"
"1183","381785","99.0"
"1184","381786","99.0"
"1185","381787","99.0"
"1186","381788","84.0"
"1187","381789","53.0"
"1188","381790","68.0"
"1189","381791","53.0"
"1190","381792","84.0"
"1191","381793","53.0"
"1192","381794","30.0"
"1193","381795","61.0"
"1194","381796","55.0"
"1195","381797","84.0"
"1196","381798","33.0"
"1197","381799","53.0"
"1198","381800","61.0"
"1199","381801","68.0"
